id,url,is_valid
8223816,https://phishtank.org/phish_detail.php?phish_id=8223816,VALID PHISH
8223815,https://phishtank.org/phish_detail.php?phish_id=8223815,VALID PHISH
8223814,https://phishtank.org/phish_detail.php?phish_id=8223814,Unknown
8223813,https://phishtank.org/phish_detail.php?phish_id=8223813,Unknown
8223812,https://phishtank.org/phish_detail.php?phish_id=8223812,Unknown
8223811,https://phishtank.org/phish_detail.php?phish_id=8223811,VALID PHISH
8223810,https://phishtank.org/phish_detail.php?phish_id=8223810,VALID PHISH
8223809,https://phishtank.org/phish_detail.php?phish_id=8223809,VALID PHISH
8223808,https://phishtank.org/phish_detail.php?phish_id=8223808,VALID PHISH
8223807,https://phishtank.org/phish_detail.php?phish_id=8223807,VALID PHISH
8223806,https://phishtank.org/phish_detail.php?phish_id=8223806,VALID PHISH
8223805,https://phishtank.org/phish_detail.php?phish_id=8223805,Unknown
8223804,https://phishtank.org/phish_detail.php?phish_id=8223804,VALID PHISH
8223803,https://phishtank.org/phish_detail.php?phish_id=8223803,VALID PHISH
8223802,https://phishtank.org/phish_detail.php?phish_id=8223802,VALID PHISH
8223801,https://phishtank.org/phish_detail.php?phish_id=8223801,VALID PHISH
8223800,https://phishtank.org/phish_detail.php?phish_id=8223800,VALID PHISH
8223799,https://phishtank.org/phish_detail.php?phish_id=8223799,VALID PHISH
8223798,https://phishtank.org/phish_detail.php?phish_id=8223798,VALID PHISH
8223797,https://phishtank.org/phish_detail.php?phish_id=8223797,VALID PHISH
8223796,https://phishtank.org/phish_detail.php?phish_id=8223796,VALID PHISH
8223795,https://phishtank.org/phish_detail.php?phish_id=8223795,VALID PHISH
8223794,https://phishtank.org/phish_detail.php?phish_id=8223794,VALID PHISH
8223793,https://phishtank.org/phish_detail.php?phish_id=8223793,VALID PHISH
8223792,https://phishtank.org/phish_detail.php?phish_id=8223792,VALID PHISH
8223791,https://phishtank.org/phish_detail.php?phish_id=8223791,Unknown
8223790,https://phishtank.org/phish_detail.php?phish_id=8223790,VALID PHISH
8223789,https://phishtank.org/phish_detail.php?phish_id=8223789,VALID PHISH
8223788,https://phishtank.org/phish_detail.php?phish_id=8223788,VALID PHISH
8223787,https://phishtank.org/phish_detail.php?phish_id=8223787,VALID PHISH
8223786,https://phishtank.org/phish_detail.php?phish_id=8223786,VALID PHISH
8223785,https://phishtank.org/phish_detail.php?phish_id=8223785,VALID PHISH
8223784,https://phishtank.org/phish_detail.php?phish_id=8223784,VALID PHISH
8223783,https://phishtank.org/phish_detail.php?phish_id=8223783,VALID PHISH
8223782,https://phishtank.org/phish_detail.php?phish_id=8223782,VALID PHISH
8223781,https://phishtank.org/phish_detail.php?phish_id=8223781,Unknown
8223780,https://phishtank.org/phish_detail.php?phish_id=8223780,VALID PHISH
8223779,https://phishtank.org/phish_detail.php?phish_id=8223779,VALID PHISH
8223778,https://phishtank.org/phish_detail.php?phish_id=8223778,VALID PHISH
8223777,https://phishtank.org/phish_detail.php?phish_id=8223777,VALID PHISH
8223776,https://phishtank.org/phish_detail.php?phish_id=8223776,VALID PHISH
8223775,https://phishtank.org/phish_detail.php?phish_id=8223775,VALID PHISH
8223774,https://phishtank.org/phish_detail.php?phish_id=8223774,VALID PHISH
8223773,https://phishtank.org/phish_detail.php?phish_id=8223773,VALID PHISH
8223772,https://phishtank.org/phish_detail.php?phish_id=8223772,VALID PHISH
8223771,https://phishtank.org/phish_detail.php?phish_id=8223771,VALID PHISH
8223770,https://phishtank.org/phish_detail.php?phish_id=8223770,VALID PHISH
8223769,https://phishtank.org/phish_detail.php?phish_id=8223769,Unknown
8223768,https://phishtank.org/phish_detail.php?phish_id=8223768,VALID PHISH
8223767,https://phishtank.org/phish_detail.php?phish_id=8223767,VALID PHISH
8223766,https://phishtank.org/phish_detail.php?phish_id=8223766,VALID PHISH
8223765,https://phishtank.org/phish_detail.php?phish_id=8223765,VALID PHISH
8223764,https://phishtank.org/phish_detail.php?phish_id=8223764,VALID PHISH
8223763,https://phishtank.org/phish_detail.php?phish_id=8223763,VALID PHISH
8223762,https://phishtank.org/phish_detail.php?phish_id=8223762,VALID PHISH
8223761,https://phishtank.org/phish_detail.php?phish_id=8223761,VALID PHISH
8223760,https://phishtank.org/phish_detail.php?phish_id=8223760,VALID PHISH
8223759,https://phishtank.org/phish_detail.php?phish_id=8223759,VALID PHISH
8223758,https://phishtank.org/phish_detail.php?phish_id=8223758,VALID PHISH
8223757,https://phishtank.org/phish_detail.php?phish_id=8223757,VALID PHISH
8223756,https://phishtank.org/phish_detail.php?phish_id=8223756,VALID PHISH
8223755,https://phishtank.org/phish_detail.php?phish_id=8223755,VALID PHISH
8223754,https://phishtank.org/phish_detail.php?phish_id=8223754,VALID PHISH
8223753,https://phishtank.org/phish_detail.php?phish_id=8223753,VALID PHISH
8223752,https://phishtank.org/phish_detail.php?phish_id=8223752,VALID PHISH
8223751,https://phishtank.org/phish_detail.php?phish_id=8223751,VALID PHISH
8223750,https://phishtank.org/phish_detail.php?phish_id=8223750,VALID PHISH
8223749,https://phishtank.org/phish_detail.php?phish_id=8223749,VALID PHISH
8223748,https://phishtank.org/phish_detail.php?phish_id=8223748,VALID PHISH
8223747,https://phishtank.org/phish_detail.php?phish_id=8223747,VALID PHISH
8223746,https://phishtank.org/phish_detail.php?phish_id=8223746,VALID PHISH
8223745,https://phishtank.org/phish_detail.php?phish_id=8223745,VALID PHISH
8223744,https://phishtank.org/phish_detail.php?phish_id=8223744,VALID PHISH
8223743,https://phishtank.org/phish_detail.php?phish_id=8223743,VALID PHISH
8223742,https://phishtank.org/phish_detail.php?phish_id=8223742,VALID PHISH
8223741,https://phishtank.org/phish_detail.php?phish_id=8223741,VALID PHISH
8223740,https://phishtank.org/phish_detail.php?phish_id=8223740,VALID PHISH
8223739,https://phishtank.org/phish_detail.php?phish_id=8223739,VALID PHISH
8223738,https://phishtank.org/phish_detail.php?phish_id=8223738,VALID PHISH
8223737,https://phishtank.org/phish_detail.php?phish_id=8223737,VALID PHISH
8223736,https://phishtank.org/phish_detail.php?phish_id=8223736,VALID PHISH
8223735,https://phishtank.org/phish_detail.php?phish_id=8223735,VALID PHISH
8223734,https://phishtank.org/phish_detail.php?phish_id=8223734,VALID PHISH
8223733,https://phishtank.org/phish_detail.php?phish_id=8223733,VALID PHISH
8223732,https://phishtank.org/phish_detail.php?phish_id=8223732,VALID PHISH
8223731,https://phishtank.org/phish_detail.php?phish_id=8223731,Unknown
8223730,https://phishtank.org/phish_detail.php?phish_id=8223730,VALID PHISH
8223729,https://phishtank.org/phish_detail.php?phish_id=8223729,VALID PHISH
8223728,https://phishtank.org/phish_detail.php?phish_id=8223728,VALID PHISH
8223727,https://phishtank.org/phish_detail.php?phish_id=8223727,VALID PHISH
8223726,https://phishtank.org/phish_detail.php?phish_id=8223726,VALID PHISH
8223725,https://phishtank.org/phish_detail.php?phish_id=8223725,VALID PHISH
